Task ID,Message Type,Req. Timestamp,Method,URL,Code,Reason,RTT,Size Req. Header,Size Req. Body,Size Resp. Header,Size Resp. Body,Highest Alert,State,Payloads
0,Original,Tue Sep 05 14:46:13 IST 2023,GET,https://0aa300f0034d9eee83feab560063001a.web-security-academy.net/,200,OK,5819,719,0,130,11358,Medium,,[]
4,Fuzzed,Tue Sep 05 14:48:02 IST 2023,GET,https://0aa300f0034d9eee83feab560063001a.web-security-academy.net/,200,OK,716,742,0,130,11358,,Reflected,[4]
6,Fuzzed,Tue Sep 05 14:48:02 IST 2023,GET,https://0aa300f0034d9eee83feab560063001a.web-security-academy.net/,200,OK,707,742,0,130,11358,,Reflected,[6]
2,Fuzzed,Tue Sep 05 14:48:02 IST 2023,GET,https://0aa300f0034d9eee83feab560063001a.web-security-academy.net/,200,OK,731,742,0,130,11358,,Reflected,[2]
8,Fuzzed,Tue Sep 05 14:48:02 IST 2023,GET,https://0aa300f0034d9eee83feab560063001a.web-security-academy.net/,200,OK,730,742,0,130,11358,,Reflected,[8]
7,Fuzzed,Tue Sep 05 14:48:02 IST 2023,GET,https://0aa300f0034d9eee83feab560063001a.web-security-academy.net/,200,OK,744,742,0,130,11358,,Reflected,[7]
5,Fuzzed,Tue Sep 05 14:48:02 IST 2023,GET,https://0aa300f0034d9eee83feab560063001a.web-security-academy.net/,200,OK,772,742,0,130,11358,,Reflected,[5]
1,Fuzzed,Tue Sep 05 14:48:02 IST 2023,GET,https://0aa300f0034d9eee83feab560063001a.web-security-academy.net/,200,OK,841,742,0,130,11358,,Reflected,[1]
3,Fuzzed,Tue Sep 05 14:48:02 IST 2023,GET,https://0aa300f0034d9eee83feab560063001a.web-security-academy.net/,200,OK,845,742,0,130,11358,,Reflected,[3]
9,Fuzzed,Tue Sep 05 14:48:03 IST 2023,GET,https://0aa300f0034d9eee83feab560063001a.web-security-academy.net/,200,OK,649,742,0,130,11358,,Reflected,[9]
15,Fuzzed,Tue Sep 05 14:48:03 IST 2023,GET,https://0aa300f0034d9eee83feab560063001a.web-security-academy.net/,200,OK,1053,743,0,130,11358,,Reflected,[15]
12,Fuzzed,Tue Sep 05 14:48:03 IST 2023,GET,https://0aa300f0034d9eee83feab560063001a.web-security-academy.net/,200,OK,1112,743,0,130,11358,,Reflected,[12]
11,Fuzzed,Tue Sep 05 14:48:03 IST 2023,GET,https://0aa300f0034d9eee83feab560063001a.web-security-academy.net/,200,OK,1129,743,0,130,11358,,Reflected,[11]
13,Fuzzed,Tue Sep 05 14:48:03 IST 2023,GET,https://0aa300f0034d9eee83feab560063001a.web-security-academy.net/,200,OK,1124,743,0,130,11358,,Reflected,[13]
16,Fuzzed,Tue Sep 05 14:48:03 IST 2023,GET,https://0aa300f0034d9eee83feab560063001a.web-security-academy.net/,200,OK,1066,743,0,130,11358,,Reflected,[16]
14,Fuzzed,Tue Sep 05 14:48:03 IST 2023,GET,https://0aa300f0034d9eee83feab560063001a.web-security-academy.net/,200,OK,1117,743,0,130,11358,,Reflected,[14]
18,Fuzzed,Tue Sep 05 14:48:04 IST 2023,GET,https://0aa300f0034d9eee83feab560063001a.web-security-academy.net/,200,OK,671,743,0,130,11358,,Reflected,[18]
23,Fuzzed,Tue Sep 05 14:48:04 IST 2023,GET,https://0aa300f0034d9eee83feab560063001a.web-security-academy.net/,200,OK,768,743,0,130,11358,,Reflected,[23]
19,Fuzzed,Tue Sep 05 14:48:04 IST 2023,GET,https://0aa300f0034d9eee83feab560063001a.web-security-academy.net/,200,OK,920,743,0,130,11358,,Reflected,[19]
22,Fuzzed,Tue Sep 05 14:48:04 IST 2023,GET,https://0aa300f0034d9eee83feab560063001a.web-security-academy.net/,200,OK,921,743,0,130,11358,,Reflected,[22]
10,Fuzzed,Tue Sep 05 14:48:03 IST 2023,GET,https://0aa300f0034d9eee83feab560063001a.web-security-academy.net/,200,OK,2131,743,0,130,11358,,Reflected,[10]
