Task ID,Message Type,Req. Timestamp,Method,URL,Code,Reason,RTT,Size Req. Header,Size Req. Body,Size Resp. Header,Size Resp. Body,Highest Alert,State,Payloads
0,Original,Thu Aug 31 13:34:02 IST 2023,GET,https://0a5800350373c4d883b6282f00200040.web-security-academy.net/,500,Internal Server Error,925,764,0,148,2226,,,[]
6,Fuzzed,Thu Aug 31 13:37:40 IST 2023,GET,https://0a5800350373c4d883b6282f00200040.web-security-academy.net/,200,OK,743,787,0,130,11383,,Reflected,[6]
5,Fuzzed,Thu Aug 31 13:37:40 IST 2023,GET,https://0a5800350373c4d883b6282f00200040.web-security-academy.net/,200,OK,784,787,0,130,11383,,Reflected,[5]
4,Fuzzed,Thu Aug 31 13:37:40 IST 2023,GET,https://0a5800350373c4d883b6282f00200040.web-security-academy.net/,200,OK,809,787,0,130,11383,,Reflected,[4]
1,Fuzzed,Thu Aug 31 13:37:40 IST 2023,GET,https://0a5800350373c4d883b6282f00200040.web-security-academy.net/,200,OK,828,787,0,130,11383,,Reflected,[1]
7,Fuzzed,Thu Aug 31 13:37:40 IST 2023,GET,https://0a5800350373c4d883b6282f00200040.web-security-academy.net/,200,OK,853,787,0,130,11383,,Reflected,[7]
3,Fuzzed,Thu Aug 31 13:37:40 IST 2023,GET,https://0a5800350373c4d883b6282f00200040.web-security-academy.net/,200,OK,910,787,0,130,11383,,Reflected,[3]
2,Fuzzed,Thu Aug 31 13:37:40 IST 2023,GET,https://0a5800350373c4d883b6282f00200040.web-security-academy.net/,200,OK,917,787,0,130,11383,,Reflected,[2]
8,Fuzzed,Thu Aug 31 13:37:40 IST 2023,GET,https://0a5800350373c4d883b6282f00200040.web-security-academy.net/,200,OK,902,787,0,130,11383,,Reflected,[8]
11,Fuzzed,Thu Aug 31 13:37:41 IST 2023,GET,https://0a5800350373c4d883b6282f00200040.web-security-academy.net/,200,OK,640,788,0,130,11383,,Reflected,[11]
12,Fuzzed,Thu Aug 31 13:37:41 IST 2023,GET,https://0a5800350373c4d883b6282f00200040.web-security-academy.net/,200,OK,753,788,0,130,11383,,Reflected,[12]
10,Fuzzed,Thu Aug 31 13:37:41 IST 2023,GET,https://0a5800350373c4d883b6282f00200040.web-security-academy.net/,200,OK,769,788,0,130,11383,,Reflected,[10]
9,Fuzzed,Thu Aug 31 13:37:41 IST 2023,GET,https://0a5800350373c4d883b6282f00200040.web-security-academy.net/,200,OK,811,787,0,130,11383,,Reflected,[9]
13,Fuzzed,Thu Aug 31 13:37:41 IST 2023,GET,https://0a5800350373c4d883b6282f00200040.web-security-academy.net/,200,OK,839,788,0,130,11383,,Reflected,[13]
14,Fuzzed,Thu Aug 31 13:37:41 IST 2023,GET,https://0a5800350373c4d883b6282f00200040.web-security-academy.net/,200,OK,847,788,0,130,11383,,Reflected,[14]
16,Fuzzed,Thu Aug 31 13:37:41 IST 2023,GET,https://0a5800350373c4d883b6282f00200040.web-security-academy.net/,200,OK,786,788,0,130,11383,,Reflected,[16]
15,Fuzzed,Thu Aug 31 13:37:41 IST 2023,GET,https://0a5800350373c4d883b6282f00200040.web-security-academy.net/,200,OK,838,788,0,130,11383,,Reflected,[15]
17,Fuzzed,Thu Aug 31 13:37:42 IST 2023,GET,https://0a5800350373c4d883b6282f00200040.web-security-academy.net/,200,OK,730,788,0,130,11383,,Reflected,[17]
18,Fuzzed,Thu Aug 31 13:37:42 IST 2023,GET,https://0a5800350373c4d883b6282f00200040.web-security-academy.net/,200,OK,682,788,0,130,11383,,Reflected,[18]
19,Fuzzed,Thu Aug 31 13:37:42 IST 2023,GET,https://0a5800350373c4d883b6282f00200040.web-security-academy.net/,200,OK,759,788,0,130,11383,,Reflected,[19]
20,Fuzzed,Thu Aug 31 13:37:42 IST 2023,GET,https://0a5800350373c4d883b6282f00200040.web-security-academy.net/,500,Internal Server Error,749,788,0,148,2226,,Reflected,[20]
21,Fuzzed,Thu Aug 31 13:37:42 IST 2023,GET,https://0a5800350373c4d883b6282f00200040.web-security-academy.net/,200,OK,687,788,0,130,11383,,Reflected,[21]
23,Fuzzed,Thu Aug 31 13:37:42 IST 2023,GET,https://0a5800350373c4d883b6282f00200040.web-security-academy.net/,200,OK,804,788,0,130,11383,,Reflected,[23]
24,Fuzzed,Thu Aug 31 13:37:42 IST 2023,GET,https://0a5800350373c4d883b6282f00200040.web-security-academy.net/,200,OK,812,788,0,130,11383,,,[24]
22,Fuzzed,Thu Aug 31 13:37:42 IST 2023,GET,https://0a5800350373c4d883b6282f00200040.web-security-academy.net/,200,OK,868,788,0,130,11383,,Reflected,[22]
27,Fuzzed,Thu Aug 31 13:37:42 IST 2023,GET,https://0a5800350373c4d883b6282f00200040.web-security-academy.net/,200,OK,669,788,0,130,11383,,Reflected,[27]
28,Fuzzed,Thu Aug 31 13:37:43 IST 2023,GET,https://0a5800350373c4d883b6282f00200040.web-security-academy.net/,200,OK,687,788,0,130,11383,,Reflected,[28]
25,Fuzzed,Thu Aug 31 13:37:42 IST 2023,GET,https://0a5800350373c4d883b6282f00200040.web-security-academy.net/,200,OK,901,788,0,130,11383,,Reflected,[25]
26,Fuzzed,Thu Aug 31 13:37:42 IST 2023,GET,https://0a5800350373c4d883b6282f00200040.web-security-academy.net/,200,OK,827,788,0,130,11383,,Reflected,[26]
29,Fuzzed,Thu Aug 31 13:37:43 IST 2023,GET,https://0a5800350373c4d883b6282f00200040.web-security-academy.net/,200,OK,712,788,0,130,11383,,Reflected,[29]
30,Fuzzed,Thu Aug 31 13:37:43 IST 2023,GET,https://0a5800350373c4d883b6282f00200040.web-security-academy.net/,200,OK,645,788,0,130,11383,,Reflected,[30]
